"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"224801_at",-1.40187708883688,8.88075297485391,-9.69384843975939,6.66017731920444e-18,3.3104108629773e-15,30.1104090567695
"219670_at",-1.1160220473134,7.98633521831526,-9.6908402083817,6.78686046504547e-18,3.34298735068794e-15,30.0920227087647
"216524_x_at",1.4164115287795,9.94727464521297,9.68787514585282,6.91407321638055e-18,3.37524065272863e-15,30.0739016893978
"205348_s_at",-1.79054372973245,10.5674706182054,-9.67979343014789,7.27299371604903e-18,3.51903479137151e-15,30.0245176519008
"242829_x_at",1.75555194832282,9.21766774094208,9.67382989941276,7.549683028128e-18,3.62086771546402e-15,29.9880840026742
"200639_s_at",-1.25850666636036,11.7928357030163,-9.67088844855517,7.68999206006227e-18,3.6560897033383e-15,29.9701156805018
"225240_s_at",1.38129825734848,9.29740808158994,9.66041752399386,8.2108652373321e-18,3.86609205186176e-15,29.9061642202841
"209001_s_at",-1.03981603179546,10.4174337869218,-9.65921056937785,8.27311879410747e-18,3.86609205186176e-15,29.8987939039816
"212639_x_at",-1.5915347917652,12.1128934550976,-9.65584880523528,8.44900378786525e-18,3.91482442458926e-15,29.8782664598107
"244197_x_at",1.42347311228865,10.7020090747463,9.642832907162,9.1658097300777e-18,4.19986452532085e-15,29.7988075214868
"225535_s_at",-1.20186090833796,10.8747756366194,-9.64192849557652,9.21780965776868e-18,4.19986452532085e-15,29.7932873783213
"225092_at",-1.40220662050969,9.2299550524151,-9.63305477868779,9.7438499940768e-18,4.39169375690305e-15,29.7391334079852
"202785_at",-2.06694867144789,6.85780027212669,-9.63214438065627,9.79948126826103e-18,4.39169375690305e-15,29.7335782499819
"223037_at",-1.01228027718443,8.70118049722364,-9.59286396349678,1.25263132995592e-17,5.5054202620292e-15,29.4940292240336
"217937_s_at",1.64321835731735,5.94988785714651,9.5923481212354,1.25667409696552e-17,5.5054202620292e-15,29.4908851752121
"211025_x_at",-1.27018796070512,9.90789958195021,-9.59209412754783,1.25866947005697e-17,5.5054202620292e-15,29.4893371055563
"236338_at",1.94419524448115,7.501546338595,9.59040724488719,1.27200188355148e-17,5.51957960183945e-15,29.4790559868022
"233313_at",1.38011477963371,8.33485223561291,9.58564380661329,1.3104139445805e-17,5.64148680471957e-15,29.4500267326387
"212751_at",-1.5344331682365,8.26377578366053,-9.57920366208672,1.36418902116757e-17,5.82711208846383e-15,29.4107856440007
"234723_x_at",1.64356035405573,10.9846136306896,9.57682071071188,1.3846386496964e-17,5.86861381179461e-15,29.3962676889286
"218557_at",-1.34485692731814,7.52114388061127,-9.54953884117996,1.64167148079228e-17,6.90449140094754e-15,29.2301262763436
"232266_x_at",1.47885800238478,11.162226230961,9.54313913039182,1.70853903154454e-17,7.13086805722882e-15,29.1911723559224
"202961_s_at",-1.24784264422997,10.4109982521111,-9.53808222001816,1.76328811688346e-17,7.30361952959116e-15,29.1603969902398
"202168_at",-1.31094971194559,7.7805753013611,-9.53573371190185,1.78930487657538e-17,7.35565745313975e-15,29.1461059830935
"214594_x_at",1.40892850474354,9.70198140945808,9.53323715003514,1.81738086965213e-17,7.41532082449477e-15,29.1309151294448
"239629_at",2.22691790884985,7.21410541828389,9.52455333064156,1.9184970944132e-17,7.76991323237345e-15,29.0780853103149
"202517_at",-1.39552264712891,9.16930959818773,-9.52216919178122,1.94722529676804e-17,7.82827522799946e-15,29.0635832751778
"211750_x_at",-1.47043508451345,11.787820121028,-9.51653600321203,2.01681609431171e-17,8.0488627705469e-15,29.0293222634833
"200065_s_at",-1.10834349938413,10.5203470363929,-9.51523582010674,2.03322660798124e-17,8.05555541966482e-15,29.0214153716029
"226086_at",-1.48946859878748,11.254591711388,-9.51149292604189,2.08121402333926e-17,8.18635803784704e-15,28.9986551589163
"218671_s_at",-1.09700461957939,10.3124979015469,-9.50795203299544,2.127648740719e-17,8.2814624799278e-15,28.97712562707
"201214_s_at",-1.18071549596627,9.37443591420546,-9.50734698279512,2.13568579729277e-17,8.2814624799278e-15,28.9734469946003
"227847_at",-1.08362070927357,10.5997746211107,-9.5060691244878,2.15275939757196e-17,8.28888169452442e-15,28.9656779875374
"241762_at",2.38293968536338,7.95659101171696,9.49786556030703,2.2656503064096e-17,8.66254758761853e-15,28.9158097528404
"242801_at",1.88853203143212,6.79277335287906,9.49613159409618,2.29025586475559e-17,8.6958152364939e-15,28.9052707971465
"221908_at",-1.1105801778651,9.15979650588823,-9.47795256576168,2.56478976220715e-17,9.67102622404663e-15,28.7948126143245
"201758_at",-1.09262888337936,9.24220824544543,-9.47097971060087,2.67857544668042e-17,9.96266071750014e-15,28.7524606706597
"208906_at",-1.85112253427893,9.41063514924812,-9.46509489548824,2.77850578557606e-17,1.02645137720521e-14,28.7167242519519
"221434_s_at",-1.63359649682039,9.022319538513,-9.45733462954489,2.91597690351696e-17,1.07000696107242e-14,28.6696086373362
"211072_x_at",-1.23823233113236,12.6929552186216,-9.45164837981718,3.02098510309196e-17,1.10114907007702e-14,28.6350922537393
"224254_x_at",1.72565112634754,10.3932003598096,9.44514963228834,3.14561313241343e-17,1.1389827683093e-14,28.5956512258497
"217720_at",-1.19312091292726,10.1153977730635,-9.43876675829264,3.27299756032414e-17,1.17731014217581e-14,28.5569210761879
"202433_at",-1.22853163340901,7.52683170775437,-9.42896697599696,3.47863477264087e-17,1.24310036728196e-14,28.4974725130151
"209444_at",-1.22642876299906,9.92670064697488,-9.42550558048085,3.55429983930677e-17,1.25030395543122e-14,28.4764788886528
"209014_at",-1.35365543541193,10.9281152871125,-9.42491389918201,3.56739674526328e-17,1.25030395543122e-14,28.4728905215986
